Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Hub_Unit - Copy\Project Outputs for Hub_Unit - Copy\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       17/07/26
Time:       19:18
Revision:   5f568d9ca834efd53c52430f7f797842f6a72318
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C3","4.7uf","BottomLayer","FP-CL10-IPC_A","91.3130mm","13.9700mm","90","Cap Ceramic 2.2uF 10V X7R ±10% Pad SMD 0603 +125°C T/R"
"C16","100nf","BottomLayer","CAPC1608X95N","59.2760mm","45.6870mm","0","Capacitor"
"C15","100nf","BottomLayer","CAPC1608X95N","67.1830mm","47.1170mm","270","Capacitor"
"C20","100nf","BottomLayer","CAPC1608X95N","54.7040mm","25.7480mm","270","Capacitor"
"C9","100nf","BottomLayer","CAPC1608X95N","88.9000mm","13.9700mm","270","Capacitor"
"C14","100nf","BottomLayer","CAPC1608X95N","73.2790mm","46.9900mm","270","Capacitor"
"C8","100nf","BottomLayer","CAPC1608X95N","89.7890mm","17.6530mm","180","Capacitor"
"C21","100nf","BottomLayer","CAPC1608X95N","106.1390mm","28.9230mm","0","Capacitor"
"C7","2.2uf","BottomLayer","FP-CL10-IPC_A","67.8180mm","10.4140mm","270","Cap Ceramic 2.2uF 10V X7R ±10% Pad SMD 0603 +125°C T/R"
"C19","100nf","BottomLayer","CAPC1608X95N","54.9910mm","31.1150mm","90","Capacitor"
"C17","100nf","BottomLayer","CAPC1608X95N","81.9150mm","11.5000mm","0","Capacitor"
"C1","1uf","BottomLayer","CAPC1608X95N","89.4080mm","21.8440mm","180","WALSIN - 0603X105K250CT - SMD Multilayer Ceramic Capacitor, 1 F, 25 V, 0603 [1608 Metric], +/- 10%, X5R"
"C18","100nf","BottomLayer","CAPC1608X95N","54.8640mm","39.4970mm","90","Capacitor"
"C6","2.2uf","BottomLayer","FP-CL10-IPC_A","54.1020mm","36.8300mm","0","Cap Ceramic 2.2uF 10V X7R ±10% Pad SMD 0603 +125°C T/R"
"L1","W25Q128JVSIQ_TR","BottomLayer","SOIC127P780X195-8N","101.6940mm","24.7320mm","90","Inductor"
"IC2","IS42S16400J-7TLI","BottomLayer","SOP80P1176X120-54N","39.5910mm","36.7970mm","0","Integrated Circuit"
"Y2","ASCO-8.000MHZ-EK-T3","BottomLayer","ASCO16000MHZEKT","90.4700mm","27.0510mm","0","Crystal or Oscillator"
"Y1","ABS07-32.768KHZ-T","BottomLayer","ABS07","92.0420mm","37.9400mm","270","Crystal or Oscillator"
"LS1","SMI-1324-TW-5V-3-R","BottomLayer","SMI1324TW5V3R","87.9780mm","60.0380mm","90","Loudspeaker or Buzzer"
"IC4","BME688","BottomLayer","BME688","49.8780mm","7.2060mm","180","Integrated Circuit"
"IC3","SCD41-D-R1","BottomLayer","SCD41DR1","22.7000mm","7.4600mm","90","Integrated Circuit"
"IC6","TPS61165DBVT","BottomLayer","SOT95P280X145-6N","26.7640mm","55.0850mm","0","Integrated Circuit"
"IC5","AP63203WU-7","BottomLayer","AP63203WU7","19.1770mm","65.5320mm","180","Integrated Circuit"
"IC1","STM32F746BGT6","BottomLayer","QFP50P3000X3000X160-208N","72.1030mm","28.6690mm","180","Integrated Circuit"
