Name,Description,Designator,Footprint,LibRef,Quantity
"10uf","10F +/-10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)","C44, C53","CAPC1608X90N","CL10A106KP8NNNC","2"
"22uf","Capacitor","C46, C47","CAPC1608X95N","VJ0603Y104KXACW1BC","2"
"100nf","CAP CER 0.1UF 50V X7R 0603","C59","FP-VJ0603X-MFG","CMP-02417-000051-1","1"
"330nf","Capacitor","C61","CAPC1608X95N","VJ0603Y104KXACW1BC","1"
"SMBJ5.0A","TVS Diode (Uni-directional)","D1","SMBJ12A","SMBJ5.0A","1"
"SS16-E3_61T","Diode","D2","DIOM5127X229N","SS16-E3_61T","1"
"SS14","Battery","D5","DIOM5026X262N","SS14","1"
"0ZCF0300BF2C","Fuse","F1","FUSC7451X115N","0ZCF0300BF2C","1"
"FCM1608KF-601T03","Ferrite Bead","Ferrite Chip Bead","BEADC1608X95N","FCM1608KF-601T03","1"
"STM32F746BGT6","Integrated Circuit","IC1","QFP50P3000X3000X160-208N","STM32F746BGT6","1"
"IS42S16400J-7TLI","Integrated Circuit","IC2","SOP80P1176X120-54N","IS42S16400J-7TLI","1"
"SCD41-D-R1","Integrated Circuit","IC3","SCD41DR1","SCD41-D-R1","1"
"BME688","Integrated Circuit","IC4","BME688","BME688","1"
"AP63203WU-7","Integrated Circuit","IC5","AP63203WU7","AP63203WU-7","1"
"TPS61165DBVT","Integrated Circuit","IC6","SOT95P280X145-6N","TPS61165DBVT","1"
"2N7002P,235","Integrated Circuit","IC7","SOT95P230X110-3N","2N7002P,235","1"
"LMV393MM_NOPB","Integrated Circuit","IC8","SOP65P490X110-8N","LMV393MM_NOPB","1"
"FH12-40S-0.5SH_55_","Connector","J2","FH1240S05SH55","FH12-40S-0.5SH_55_","1"
"FTSH-107-01-L-DV-K-A","Connector","J3","FTSH-107-XX-YYY-DV-K-A","FTSH-107-01-L-DV-K-A","1"
"USB4085-GF-A_REVA4","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Through Hole, Right Angle, low cost, 3.46mm profile, 16 pin, horizontal, Top mount","J4","GCT_USB4085-GF-A_REVA4","USB4085-GF-A_REVA4","1"
"FH12-10S-0.5SH_55_","Connector","J15","FH1210S05SH55","FH12-10S-0.5SH_55_","1"
"W25Q128JVSIQ_TR","Inductor","L1","SOIC127P780X195-8N","W25Q128JVSIQ_TR","1"
"#A915AY-100M=P3","FIXED IND 10UH 1.49A 90 MOHM SMD","L2","FP-D53LC-MFG","CMP-06042-000140-1","1"
"DR74-4R7-R","High Power Density, High Efficiency, Shielded Inductor, 4.7 uH, -40 to 125 degC, RoHS, Tape and Reel","L3","COBU-DR74-4R7-R_V","CMP-2000-06180-1","1"
"KPTL-3216SURCK-01-VS","LED","LED1, LED2","KPTL3216SURCK01VS","KPTL-3216SURCK-01-VS","2"
"SMI-1324-TW-5V-3-R","Loudspeaker or Buzzer","LS1","SMI1324TW5V3R","SMI-1324-TW-5V-3-R","1"
"ESP-01","Modified .025"" SQ Post Header, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 8-Pin, Male, RoHS","P1","SMTC-MTSW-104-12-X-D-006","CMP-1024-00110-1","1"
"TSW-105-05-G-D","0.025"" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 10-Pin, Male, RoHS","P2","SMTC-TSW-105-05-X-D","CMP-1024-00362-1","1"
"691701510004B","Terminal Block, 5.08MM, Close Vertical Pcb Header, Thr Type, 4 Pins","P3","691701510004B","CMP-1502-02331-3","1"
"PT334-6B","Phototransistor","Q1","PT3346B","PT334-6B","1"
"10k","Resistor","R1, R2, R3, R4, R6, R13, R14, R24, R26","RESC1608X55N","RC0603FR-071KL","9"
"47","Resistor","R5","RESC1608X55N","RC0603FR-071KL","1"
"4k7","Resistor","R7, R9, R10, R11, R12, R17, R18, R19","RESC1608X55N","CRCW06034K70JNEAC","8"
"10 OHM","AR03BTCX6R80","R8","RESC1608X50N","RCA0603100KFKEA","1"
"1k","CRCW0603 Resistor T/R 0.10W,1%,1K Vishay CRCW Series Thick Film Surface Mount Resistor 0603 Case 1k +/-1% 0.1W +/-100ppm/C","R15","RESC1608X50N","CRCW06031K00FKEA","1"
"100k","100 kOhms +/-1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Anti-Sulfur, Automotive AEC-Q200 Thick Film","R16","RESC1608X50N","RCA0603100KFKEA","1"
"100 OHM","Res Thin Film 0603 100 Ohm 1% 0.1W(1/10W) +/-50ppm/C Sulfur Resistant Pad SMD Automotive Medical T/R","R20","RESC1608X55N","TNPW0603100RFHEA","1"
"10K","100 kOhms +/-1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Anti-Sulfur, Automotive AEC-Q200 Thick Film","R21","RESC1608X50N","RCA0603100KFKEA","1"
"5.1 kO, 1%","Resistor","R22, R23","RESC1608X55N","RC0603FR-071KL","2"
"1M","Resistor","R25","RESC1608X55N","RC0603FR-071KL","1"
"MCP2221A-I/SL","IC USB TO I2C/UART 14SOIC","U1","FP-C04-065-SL-MFG","CMP-06284-000011-1","1"
"PT10MV11-104A2020-S","Variable Resistor","VR1","PT10MV11104A2020S","PT10MV11-104A2020-S","1"
"ABS07-32.768KHZ-T","Crystal or Oscillator","Y1","ABS07","ABS07-32.768KHZ-T","1"
"ASCO-8.000MHZ-EK-T3","Crystal or Oscillator","Y2","ASCO16000MHZEKT","ASCO-8.000MHZ-EK-T3","1"
